country,city_actual,rating_count,distance,center1label,distance_alter,center2label,neighbourhood,price,price_night,city,stars,ratingta,ratingta_count,acc_type,ratings,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,nnights
Austria,Vienna,122,1.9,City centre,4.7,Donauturm,Margareten,383,price for 1 night,Vienna,3,4,382,Hotel,4,1,22193,0,0% no offer,2017,11,0,0,1
Austria,Vienna,404,0,City centre,2.8,Donauturm,Innere Stadt,242,price for 1 night,Vienna,4,4.5,2165,Hotel,4.8,0,22050,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,56,0.1,City centre,2.7,Donauturm,Innere Stadt,231,price for 1 night,Vienna,4,4.5,282,Hotel,4.4,0,22031,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,123,0.5,City centre,2.4,Donauturm,Innere Stadt,223,price for 1 night,Vienna,4,3.5,276,Hotel,3.5,1,22051,0,0% no offer,2017,11,0,0,1
Austria,Vienna,81,0.3,City centre,3,Donauturm,Innere Stadt,219,price for 1 night,Vienna,4,4.5,392,Hotel,4.5,1,21972,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,124,0.2,City centre,2.6,Donauturm,Innere Stadt,218,price for 1 night,Vienna,4,5,1112,Hotel,4.6,1,22011,1,50%-75% offer,2017,11,0,0,1
Austria,Vienna,115,0.1,City centre,2.7,Donauturm,Innere Stadt,218,price for 1 night,Vienna,4,4.5,475,Hotel,4.5,0,22012,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,178,2.9,City centre,0.6,Donauturm,Donaustadt,208,price for 1 night,Vienna,4,4,1085,Hotel,4.1,1,21930,0,0% no offer,2017,11,0,0,1
Austria,Vienna,317,0.8,City centre,3.5,Donauturm,Wieden,197,price for 1 night,Vienna,4,4.5,1840,Hotel,4.8,1,22391,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,45,2.1,City centre,3,Donauturm,Wahring,185,price for 1 night,Vienna,4,4,142,Hotel,4.4,1,22382,0,0% no offer,2017,11,0,0,1
Austria,Vienna,123,1,City centre,3.7,Donauturm,Neubau,184,price for 1 night,Vienna,4,4.5,2431,Hotel,4.6,0,22250,1,50%-75% offer,2017,11,0,0,1
Austria,Vienna,323,0.5,City centre,3.3,Donauturm,Kaerntner Strasse,182,price for 1 night,Vienna,4,4.5,327,Hotel,4.5,0,22097,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,467,0.5,City centre,3.3,Donauturm,Innere Stadt,179,price for 1 night,Vienna,4,4.5,423,Hotel,4.4,1,22016,0,0% no offer,2017,11,0,0,1
Austria,Vienna,144,1.5,City centre,4.3,Donauturm,Margareten,174,price for 1 night,Vienna,4,4.5,1650,Hotel,4.3,0,22198,0,0% no offer,2017,11,0,0,1
Austria,Vienna,212,2.2,City centre,3.8,Donauturm,Vienna,172,price for 1 night,Vienna,4,4,401,Hotel,4.1,1,22359,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,81,0.3,City centre,2.5,Donauturm,Innere Stadt,169,price for 1 night,Vienna,4,4.5,561,Hotel,4.5,1,22042,0,0% no offer,2017,11,0,0,1
Austria,Vienna,313,0.3,City centre,3.1,Donauturm,Kaerntner Strasse,169,price for 1 night,Vienna,4,4,760,Hotel,4.1,1,22095,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,303,0.8,City centre,2.7,Donauturm,Landstrasse,169,price for 1 night,Vienna,4,4,1208,Hotel,4.1,0,22120,0,0% no offer,2017,11,0,0,1
Austria,Vienna,703,0.6,City centre,2.8,Donauturm,Innere Stadt,166,price for 1 night,Vienna,4,4,1592,Hotel,4.3,1,22037,1,15-50% offer,2017,11,0,0,1
Austria,Schwechat,923,11,City centre,11,Donauturm,Schwechat,166,price for 1 night,Vienna,4,4,2400,Hotel,4,0,22318,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,148,0.4,City centre,2.7,Donauturm,Innere Stadt,163,price for 1 night,Vienna,4,4,388,Hotel,4.1,1,22028,0,0% no offer,2017,11,0,0,1
Austria,Vienna,47,0.3,City centre,3.1,Donauturm,Innere Stadt,158,price for 1 night,Vienna,3,4,232,Hotel,4.3,1,22009,0,0% no offer,2017,11,0,0,1
Austria,Vienna,21,0.4,City centre,2.9,Donauturm,Innere Stadt,157,price for 1 night,Vienna,3,4.5,146,Hotel,4.4,1,21988,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,650,0.7,City centre,3.5,Donauturm,Innere Stadt,157,price for 1 night,Vienna,4,4.5,1380,Hotel,4.5,0,22018,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,168,0.1,City centre,2.8,Donauturm,Innere Stadt,157,price for 1 night,Vienna,4,4,392,Hotel,4.1,1,22021,0,0% no offer,2017,11,0,0,1
Austria,Vienna,184,0.3,City centre,2.6,Donauturm,Innere Stadt,156,price for 1 night,Vienna,3,4.5,1347,Hotel,4.5,1,21968,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,910,3.6,City centre,6.2,Donauturm,Schonbrunn,156,price for 1 night,Vienna,4,4,1122,Hotel,4.3,0,22303,0,0% no offer,2017,11,0,0,1
Austria,Vienna,184,0.2,City centre,3,Donauturm,Kaerntner Strasse,153,price for 1 night,Vienna,4,4,700,Hotel,4.1,1,22093,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,271,0.3,City centre,3,Donauturm,Innere Stadt,152,price for 1 night,Vienna,4,4,261,Hotel,4.3,0,21973,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,342,0.9,City centre,3.4,Donauturm,Josefstadt,152,price for 1 night,Vienna,4,4,1461,Hotel,4.3,0,22077,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,104,0.5,City centre,2.3,Donauturm,Leopoldstadt,151,price for 1 night,Vienna,4,4.5,1272,Hotel,4.6,0,22187,0,0% no offer,2017,11,0,0,1
Austria,Vienna,161,1,City centre,2.7,Donauturm,Alsergrund,150,price for 1 night,Vienna,4,4.5,617,Hotel,4.6,0,21907,0,0% no offer,2017,11,0,0,1
Austria,Vienna,391,0.2,City centre,2.6,Donauturm,Innere Stadt,149,price for 1 night,Vienna,4,4,1516,Hotel,4,0,21986,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,653,0.3,City centre,2.7,Donauturm,Innere Stadt,149,price for 1 night,Vienna,4,4.5,930,Hotel,4.4,1,22052,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,336,0.1,City centre,2.9,Donauturm,Innere Stadt,146,price for 1 night,Vienna,4,4,714,Hotel,4.4,0,21980,0,0% no offer,2017,11,0,0,1
Austria,Vienna,95,0.3,City centre,2.8,Donauturm,Innere Stadt,146,price for 1 night,Vienna,4,4.5,770,Hotel,4.5,1,22019,0,0% no offer,2017,11,0,0,1
Austria,Vienna,249,0.9,City centre,2.5,Donauturm,Landstrasse,145,price for 1 night,Vienna,3.5,4.5,730,Hotel,4.3,0,22126,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,512,0.1,City centre,2.8,Donauturm,Kaerntner Strasse,142,price for 1 night,Vienna,4,4,837,Hotel,4.4,0,22101,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,210,0.8,City centre,3.6,Donauturm,Mariahilf,140,price for 1 night,Vienna,4,5,1495,Hotel,4.8,1,22223,1,15-50% offer,2017,11,0,0,1
Austria,Schwechat,73,7.8,City centre,8,Donauturm,Schwechat,140,price for 1 night,Vienna,4,4,127,Hotel,3.5,1,22321,0,0% no offer,2017,11,0,0,1
Austria,Vienna,34,0.2,City centre,2.9,Donauturm,Innere Stadt,139,price for 1 night,Vienna,4,3.5,54,Hotel,3.5,1,22061,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,316,0.2,City centre,2.6,Donauturm,Innere Stadt,138,price for 1 night,Vienna,4,4.5,463,Hotel,4.5,0,21977,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,386,0.3,City centre,2.5,Donauturm,Innere Stadt,138,price for 1 night,Vienna,4,4,273,Hotel,4.3,0,21996,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,250,0.5,City centre,2.3,Donauturm,Leopoldstadt,138,price for 1 night,Vienna,4,4,1023,Hotel,4,0,22158,0,0% no offer,2017,11,0,0,1
Austria,Schwechat,122,7.7,City centre,7.9,Donauturm,Schwechat,137,price for 1 night,Vienna,4,3.5,191,Hotel,3.7,1,22319,0,0% no offer,2017,11,0,0,1
Austria,Vienna,156,1.9,City centre,4.5,Donauturm,Rudolfsheim-Funfhaus,136,price for 1 night,Vienna,3,4.5,1452,Hotel,4.5,0,22277,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,110,0.3,City centre,2.6,Donauturm,Innere Stadt,135,price for 1 night,Vienna,3,3.5,162,Hotel,3.9,0,22013,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,280,1.2,City centre,3.9,Donauturm,Wieden,135,price for 1 night,Vienna,4,4,1121,Hotel,4.5,0,22394,0,0% no offer,2017,11,0,0,1
Austria,Vienna,171,0.6,City centre,3,Donauturm,Landstrasse,134,price for 1 night,Vienna,4,4.5,343,Hotel,4.3,1,22138,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,16,0.6,City centre,2.2,Donauturm,Leopoldstadt,134,price for 1 night,Vienna,3.5,4.5,70,Hotel,4,1,22155,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,125,0.8,City centre,3.5,Donauturm,Wieden,134,price for 1 night,Vienna,4,4.5,615,Hotel,4.5,0,22397,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,319,0.3,City centre,2.6,Donauturm,Innere Stadt,133,price for 1 night,Vienna,4,4,466,Hotel,4.3,1,21970,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,281,1,City centre,3.2,Donauturm,Landstrasse,132,price for 1 night,Vienna,4,4,1403,Hotel,4.1,0,22142,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,258,0.7,City centre,3.4,Donauturm,Mariahilf,131,price for 1 night,Vienna,4,4,682,Hotel,4.1,0,22214,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,12,6.6,City centre,9.4,Donauturm,Vienna,130,price for 1 night,Vienna,3,4,20,Hotel,4.4,1,22353,0,0% no offer,2017,11,0,0,1
Austria,Vienna,248,1.3,City centre,4.1,Donauturm,Margareten,129,price for 1 night,Vienna,4,4,372,Hotel,4.1,0,22206,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,251,0.8,City centre,2.9,Donauturm,Alsergrund,128,price for 1 night,Vienna,4,4,829,Hotel,4,0,21913,0,0% no offer,2017,11,0,0,1
Austria,Vienna,267,0.6,City centre,2.3,Donauturm,Leopoldstadt,128,price for 1 night,Vienna,4,4,1437,Hotel,4.1,0,22144,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,426,0.8,City centre,3.1,Donauturm,Innere Stadt,127,price for 1 night,Vienna,4,4,840,Hotel,4,0,22026,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,15,0.9,City centre,3.6,Donauturm,Wieden,126,price for 1 night,Vienna,3.5,NA,NA,Hotel,4.5,1,22389,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,47,1.2,City centre,3.7,Donauturm,Wieden,125,price for 1 night,Vienna,4,4.5,229,Hotel,4.4,0,22395,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,73,0.5,City centre,3.1,Donauturm,Innere Stadt,123,price for 1 night,Vienna,4,3.5,47,Hotel,4.1,1,21971,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,54,0.8,City centre,3.5,Donauturm,Neubau,122,price for 1 night,Vienna,3,4,143,Hotel,3.9,1,22254,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,544,1.7,City centre,4.3,Donauturm,Neubau,122,price for 1 night,Vienna,4,4,978,Hotel,4.3,0,22255,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,140,0.3,City centre,2.5,Donauturm,Innere Stadt,121,price for 1 night,Vienna,3.5,4.5,557,Hotel,4.5,1,21985,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,134,1.7,City centre,4.3,Donauturm,Rudolfsheim-Funfhaus,121,price for 1 night,Vienna,4,4,7,Hotel,3.9,0,22296,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,320,0.3,City centre,2.5,Donauturm,Innere Stadt,120,price for 1 night,Vienna,3,3.5,515,Hotel,3.9,0,21987,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,139,1.9,City centre,1.9,Donauturm,Leopoldstadt,120,price for 1 night,Vienna,4,4,807,Hotel,4.5,0,22190,1,50%-75% offer,2017,11,0,0,1
Austria,Vienna,530,0.9,City centre,3.4,Donauturm,Josefstadt,119,price for 1 night,Vienna,4,4,1358,Hotel,4,0,22076,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,158,1,City centre,3.6,Donauturm,Wieden,118,price for 1 night,Vienna,4,4,436,Hotel,4.1,0,22388,0,0% no offer,2017,11,0,0,1
Austria,Vienna,75,0.5,City centre,2.3,Donauturm,Leopoldstadt,117,price for 1 night,Vienna,4,4.5,836,Hotel,4.4,1,22189,0,0% no offer,2017,11,0,0,1
Austria,Vienna,124,2,City centre,3.4,Donauturm,Vienna,117,price for 1 night,Vienna,4,4,192,Hotel,4,0,22328,0,0% no offer,2017,11,0,0,1
Austria,Vienna,247,0.4,City centre,2.6,Donauturm,Innere Stadt,116,price for 1 night,Vienna,4,4.5,1274,Hotel,4.4,1,22032,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,84,2.7,City centre,3.7,Donauturm,Vienna,116,price for 1 night,Vienna,4,4,493,Hotel,4,0,22358,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,211,0.1,City centre,2.7,Donauturm,Innere Stadt,115,price for 1 night,Vienna,4,4.5,211,Hotel,4.3,1,21975,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,765,0.9,City centre,3.5,Donauturm,Josefstadt,115,price for 1 night,Vienna,4,4.5,2150,Hotel,4.5,0,22088,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,388,0.5,City centre,2.3,Donauturm,Innere Stadt,114,price for 1 night,Vienna,4,4,836,Hotel,4,0,22054,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,77,0.2,City centre,2.9,Donauturm,Graben,113,price for 1 night,Vienna,3,4,259,Hotel,4.4,0,21965,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,603,1,City centre,1.8,Donauturm,Leopoldstadt,113,price for 1 night,Vienna,4,4.5,1516,Hotel,4.5,1,22159,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,374,0.8,City centre,2.1,Donauturm,Leopoldstadt,113,price for 1 night,Vienna,3,4.5,1686,Hotel,4.5,0,22176,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,6,0.8,City centre,3.6,Donauturm,Neubau,113,price for 1 night,Vienna,3,NA,NA,Hotel,3.7,1,22248,0,0% no offer,2017,11,0,0,1
Austria,Vienna,505,0.2,City centre,2.9,Donauturm,Innere Stadt,112,price for 1 night,Vienna,4,4,607,Hotel,4,0,21995,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,354,0.9,City centre,3.4,Donauturm,Josefstadt,110,price for 1 night,Vienna,3,4,419,Hotel,4.1,0,22071,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,340,0.6,City centre,3.2,Donauturm,Landstrasse,110,price for 1 night,Vienna,4,4.5,2718,Hotel,4.3,0,22104,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,109,1.3,City centre,3.3,Donauturm,Landstrasse,110,price for 1 night,Vienna,3,3.5,529,Hotel,3.7,1,22136,0,0% no offer,2017,11,0,0,1
Austria,Vienna,328,0.9,City centre,3.6,Donauturm,Neubau,110,price for 1 night,Vienna,4,4.5,2436,Hotel,4.4,0,22249,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,77,1.6,City centre,4,Donauturm,Wieden,110,price for 1 night,Vienna,3.5,4.5,116,Hotel,4.5,0,22386,0,0% no offer,2017,11,0,0,1
Austria,Vienna,112,0.8,City centre,3.6,Donauturm,Wieden,110,price for 1 night,Vienna,3,4,263,Hotel,3.9,0,22399,0,0% no offer,2017,11,0,0,1
Austria,Vienna,173,1.5,City centre,3.8,Donauturm,Landstrasse,109,price for 1 night,Vienna,4,4,666,Hotel,4.1,0,22123,0,0% no offer,2017,11,0,0,1
Austria,Vienna,98,1.4,City centre,4,Donauturm,Neubau,109,price for 1 night,Vienna,4,4,582,Hotel,4,0,22259,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,160,3.5,City centre,6.2,Donauturm,Vienna,109,price for 1 night,Vienna,4,3.5,386,Hotel,4,0,22335,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,175,0.3,City centre,2.5,Donauturm,Innere Stadt,108,price for 1 night,Vienna,3,3.5,234,Hotel,3.5,1,22023,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,468,1,City centre,1.9,Donauturm,Leopoldstadt,106,price for 1 night,Vienna,3,4.5,1449,Hotel,4.5,1,22177,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,527,0.8,City centre,2,Donauturm,Leopoldstadt,106,price for 1 night,Vienna,4,4,739,Hotel,4.1,1,22182,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,30,4.1,City centre,6.8,Donauturm,Schonbrunn,106,price for 1 night,Vienna,3,3,69,Hotel,3.7,1,22309,0,0% no offer,2017,11,0,0,1
Austria,Vienna,162,1.4,City centre,4.1,Donauturm,Mariahilf,105,price for 1 night,Vienna,4,4.5,716,Hotel,4.4,0,22226,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,359,1.7,City centre,4.3,Donauturm,Neubau,105,price for 1 night,Vienna,4,4,816,Hotel,4,0,22256,0,0% no offer,2017,11,0,0,1
Austria,Vienna,54,1.2,City centre,3.9,Donauturm,Neubau,105,price for 1 night,Vienna,3,4.5,412,Hotel,4.1,1,22260,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,114,0.7,City centre,2.6,Donauturm,Landstrasse,104,price for 1 night,Vienna,3,3,72,Hotel,3.4,1,22125,0,0% no offer,2017,11,0,0,1
Austria,Vienna,57,0.9,City centre,2.4,Donauturm,Alsergrund,103,price for 1 night,Vienna,4,3.5,251,Hotel,3.9,1,21906,0,0% no offer,2017,11,0,0,1
Austria,Vienna,194,1,City centre,3.4,Donauturm,Josefstadt,102,price for 1 night,Vienna,4,4,346,Hotel,4,0,22078,1,1-15% offer,2017,11,0,0,1
Austria,Vienna,208,1.5,City centre,1.4,Donauturm,Leopoldstadt,102,price for 1 night,Vienna,3.5,4,281,Hotel,3.9,0,22166,1,50%-75% offer,2017,11,0,0,1
Austria,Vienna,28,5.3,City centre,7.6,Donauturm,Vienna,102,price for 1 night,Vienna,3,4.5,204,Hotel,4,0,22349,0,0% no offer,2017,11,0,0,1
Austria,Vienna,92,2.1,City centre,4.9,Donauturm,Schonbrunn,101,price for 1 night,Vienna,3,4.5,187,Hotel,4.5,0,22301,0,0% no offer,2017,11,0,0,1
Austria,Vienna,637,0.8,City centre,2,Donauturm,Leopoldstadt,100,price for 1 night,Vienna,4,4,584,Hotel,4,1,22183,1,15-50% offer,2017,11,0,0,1
Austria,Vienna,58,1.5,City centre,4.3,Donauturm,Margareten,100,price for 1 night,Vienna,3.5,4.5,15,Hotel,4.5,0,22201,0,0% no offer,2017,11,0,0,1
